testnum=30 bit length=8 K=3
 1 1 1 1 1 1 1 1
 1 1 0 1 1 1 1 1
 1 1 0 1 1 1 1 1
 1 1 0 1 1 1 1 1
 0 1 0 1 1 1 1 1
 0 0 0 1 1 1 1 1
 0 0 1 1 1 1 1 1
 0 0 1 0 1 1 1 1
 0 0 1 0 0 1 1 1
 0 0 1 0 0 0 1 1
 0 0 1 0 0 0 1 0
 0 0 1 0 0 0 1 0
 0 0 1 0 0 0 1 0
 0 0 1 0 0 0 1 0
 0 0 1 0 0 0 1 0
 0 0 1 0 0 0 1 0
 1 1 1 0 0 0 1 0
 1 0 0 0 0 0 1 0
 0 1 1 0 0 0 1 0
 0 0 0 1 0 0 1 0
 1 1 1 1 0 0 1 0
 1 0 0 0 0 0 1 0
 1 0 1 1 1 0 1 0
 1 0 1 0 0 1 1 0
 1 0 1 0 0 1 1 1
 1 0 1 0 0 1 1 1
 1 0 1 0 0 1 1 1
 0 0 1 0 1 1 1 1
 0 1 1 0 1 0 1 1
 1 0 0 1 1 0 1 0
